start_print
Namespace(dataname='cifar100', unlearn_method='retrain', unlearn_type='set_random', forget_class=0, forget_size=500, forget_class_ratio=0.5, model_numbs=1, SHADOW_AVE_FLAG=True, LOOP=10, EXACT_FLAG=False, shadow_folder='LIRA_checkpoints/shadow_models/', records_folder='/ibex/project/c2283/Evaluate-Unlearning/records/', SEED_init=42, CLASS_init=0, INTERAPPROX=100, metrics=['p_interapprox'], MODEL_CHECK=False, SHADOW_IDXs=[9], SUFFIX='cifar100_retrain_set_random_500')
dict_keys(['p_proby_of_pure', 'p_tsm_of_pure', 'p_lossy_of_pure', 'p_IPapprox_proby_of_ecdf', 'p_IPapprox_proby_of_kde', 'p_IPapprox_proby_of_beta', 'p_IPapprox_carlogi_of_norm', 'p_IPapprox_IAM_of_gumbelf', 'p_IPapprox_proby_ol_ecdf', 'p_IPapprox_proby_ol_kde', 'p_IPapprox_proby_ol_beta', 'p_IPapprox_carlogi_ol_norm', 'p_IPapprox_IAM_ol_gumbel'])
Metric values                  auc    acc    tpr0.0 .-5    .-2    tnr0.0 .-5    .-2    1-mean 1-std  0-mean 0-std  cm-std1 cm-std0
p_proby_of_pure                0.8131 0.8167 0.0000 0.0000 0.0032 0.2466 0.2859 0.6258 -0.6416 0.4012 -0.9966 0.0102
p_proby_of_pure_var            0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
p_tsm_of_pure                  0.8082 0.8119 0.0000 0.0000 0.0027 0.2948 0.3884 0.6171 -0.3672 0.2654 -0.6585 0.0689
p_tsm_of_pure_var              0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
p_lossy_of_pure                0.8131 0.8167 0.0000 0.0000 0.0032 0.2466 0.2859 0.6259 1.0972 1.6901 0.0035 0.0145
p_lossy_of_pure_var            0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
p_IPapprox_proby_of_ecdf       0.6406 0.7347 0.0000 0.0001 0.0746 0.0000 0.0000 0.0109 0.6292 0.3918 0.4477 0.4960
p_IPapprox_proby_of_ecdf_var   0.0037 0.0035 0.0000 0.0000 0.0034 0.0000 0.0000 0.0001 0.0108 0.0018 0.0098 0.0011
p_IPapprox_proby_of_kde        0.6399 0.6480 0.0025 0.0025 0.1534 0.0000 0.0000 0.0111 0.6106 0.2246 0.4726 0.3000
p_IPapprox_proby_of_kde_var    0.0034 0.0054 0.0024 0.0024 0.0139 0.0000 0.0000 0.0014 0.0063 0.0016 0.0082 0.0015
p_IPapprox_proby_of_beta       0.8144 0.7535 0.0000 0.0000 0.2307 0.1191 0.1807 0.4010 0.5292 0.0400 0.4770 0.0416
p_IPapprox_proby_of_beta_var   0.0044 0.0024 0.0000 0.0000 0.0149 0.0438 0.0180 0.0079 0.0014 0.0018 0.0022 0.0021
p_IPapprox_carlogi_of_norm     0.8625 0.8189 0.0033 0.0033 0.0936 0.0085 0.0196 0.4695 0.7042 0.3251 0.2195 0.2272
p_IPapprox_carlogi_of_norm_var 0.0043 0.0044 0.0024 0.0024 0.0093 0.0071 0.0084 0.0406 0.0152 0.0122 0.0372 0.0126
p_IPapprox_IAM_of_gumbel      0.9034 0.8228 0.0044 0.0044 0.2082 0.0192 0.0397 0.5918 0.6827 0.3225 0.1617 0.1586
p_IPapprox_IAM_of_gumbel_var  0.0016 0.0020 0.0034 0.0034 0.0185 0.0138 0.0218 0.0041 0.0070 0.0059 0.0113 0.0059
p_IPapprox_proby_ol_ecdf       0.6412 0.7354 0.0000 0.0001 0.0775 0.0000 0.0000 0.0109 0.6294 0.3917 0.4479 0.4960
p_IPapprox_proby_ol_ecdf_var   0.0038 0.0036 0.0000 0.0000 0.0033 0.0000 0.0000 0.0001 0.0107 0.0018 0.0097 0.0010
p_IPapprox_proby_ol_kde        0.6399 0.6480 0.0026 0.0026 0.1536 0.0000 0.0000 0.0110 0.6106 0.2245 0.4728 0.2999
p_IPapprox_proby_ol_kde_var    0.0033 0.0054 0.0025 0.0025 0.0141 0.0000 0.0000 0.0014 0.0063 0.0016 0.0081 0.0015
p_IPapprox_proby_ol_beta       0.8152 0.7549 0.0000 0.0000 0.2349 0.1668 0.2807 0.3994 0.5292 0.0398 0.4773 0.0414
p_IPapprox_proby_ol_beta_var   0.0044 0.0026 0.0000 0.0000 0.0136 0.1121 0.0171 0.0071 0.0014 0.0018 0.0022 0.0021
p_IPapprox_carlogi_ol_norm     0.8799 0.8145 0.0019 0.0019 0.0550 0.0127 0.0183 0.4662 0.7248 0.2738 0.2762 0.2145
p_IPapprox_carlogi_ol_norm_var 0.0010 0.0017 0.0019 0.0019 0.0078 0.0050 0.0047 0.0194 0.0040 0.0051 0.0078 0.0034
p_IPapprox_IAM_ol_gumbel       0.9121 0.8203 0.0077 0.0077 0.2585 0.0409 0.1066 0.6037 0.7023 0.2942 0.1979 0.1635
p_IPapprox_IAM_ol_gumbel_var   0.0012 0.0013 0.0041 0.0041 0.0209 0.0273 0.0223 0.0029 0.0039 0.0033 0.0051 0.0025
end_print
